,r,rr,dist(mile),GAMS Symbol
0,WA,OR,238.3198099333851,WAOR
1,WA,ID,346.66661516671314,WAID
2,WA,MT,465.2033917422763,WAMT
3,OR,CA,465.34515903675197,ORCA
4,OR,NV,375.2460882078259,ORNV
5,OR,ID,294.02844266169967,ORID
6,CA,NV,216.79796447547733,CANV
7,CA,UT,453.75038744224514,CAUT
8,CA,AZ,490.17766617352834,CAAZ
9,NV,ID,362.93457733008523,NVID
10,NV,UT,266.2367778927021,NVUT
11,NV,AZ,445.78676329517623,NVAZ
12,ID,MT,268.6472791427088,IDMT
13,ID,WY,368.11058448370744,IDWY
14,ID,UT,382.4769083746115,IDUT
15,MT,WY,313.64357463361546,MTWY
16,WY,UT,332.8234901798606,WYUT
17,WY,CO,295.83832643000534,WYCO
18,UT,AZ,347.65043013181213,UTAZ
19,UT,NM,430.3857661908805,UTNM
20,UT,CO,329.49667163972964,UTCO
21,AZ,NM,291.0896711082423,AZNM
22,NM,CO,307.9888856289821,NMCO
23,OR,WA,238.3198099333851,ORWA
24,ID,WA,346.66661516671314,IDWA
25,MT,WA,465.2033917422763,MTWA
26,CA,OR,465.34515903675197,CAOR
27,NV,OR,375.2460882078259,NVOR
28,ID,OR,294.02844266169967,IDOR
29,NV,CA,216.79796447547733,NVCA
30,UT,CA,453.75038744224514,UTCA
31,AZ,CA,490.17766617352834,AZCA
32,ID,NV,362.93457733008523,IDNV
33,UT,NV,266.2367778927021,UTNV
34,AZ,NV,445.78676329517623,AZNV
35,MT,ID,268.6472791427088,MTID
36,WY,ID,368.11058448370744,WYID
37,UT,ID,382.4769083746115,UTID
38,WY,MT,313.64357463361546,WYMT
39,UT,WY,332.8234901798606,UTWY
40,CO,WY,295.83832643000534,COWY
41,AZ,UT,347.65043013181213,AZUT
42,NM,UT,430.3857661908805,NMUT
43,CO,UT,329.49667163972964,COUT
44,NM,AZ,291.0896711082423,NMAZ
45,CO,NM,307.9888856289821,CONM
