,r,rr,AC,DC,TotalCapacity,GAMS Symbol
0,WA,OR,16159.0,0,7432.547373261889,WAOR
1,WA,ID,13567.0,0,516.1430997264553,WAID
2,WA,MT,2843.0,0,0.0,WAMT
3,OR,CA,4355.881243,2780,0.0,ORCA
4,OR,NV,1.0,0,2786.353159450323,ORNV
5,OR,ID,2133.0,0,628.3911278264713,ORID
6,CA,NV,2696.740288526,0,3112.908002514788,CANV
7,CA,UT,0.0,1920,0.0,CAUT
8,CA,AZ,2950.407438,0,0.0,CAAZ
9,NV,ID,863.0,0,1710.1469542699892,NVID
10,NV,UT,474.77275499999996,0,353.9290809153135,NVUT
11,NV,AZ,4447.0,0,761.0818067604936,NVAZ
12,ID,MT,4357.0,0,296.219080999138,IDMT
13,ID,WY,3700.0,0,210.47676688944378,IDWY
14,ID,UT,1465.0,0,1267.308344102526,IDUT
15,MT,WY,1455.55927052,0,657.3492763652109,MTWY
16,WY,UT,1910.0,0,1461.1731371926876,WYUT
17,WY,CO,3320.0,0,1765.0118185710473,WYCO
18,UT,AZ,142.2724496,0,0.0,UTAZ
19,UT,NM,299.0836897,0,1795.4588418577484,UTNM
20,UT,CO,239.2401216,0,0.0,UTCO
21,AZ,NM,6959.0,0,6888.696095537362,AZNM
22,NM,CO,690.0,0,6471.655448008665,NMCO
23,OR,WA,16159.0,0,7432.547373261889,ORWA
24,ID,WA,13567.0,0,516.1430997264553,IDWA
25,MT,WA,2843.0,0,0.0,MTWA
26,CA,OR,4355.881243,2780,0.0,CAOR
27,NV,OR,1.0,0,2786.353159450323,NVOR
28,ID,OR,2133.0,0,628.3911278264713,IDOR
29,NV,CA,2696.740288526,0,3112.908002514788,NVCA
30,UT,CA,0.0,1920,0.0,UTCA
31,AZ,CA,2950.407438,0,0.0,AZCA
32,ID,NV,863.0,0,1710.1469542699892,IDNV
33,UT,NV,474.77275499999996,0,353.9290809153135,UTNV
34,AZ,NV,4447.0,0,761.0818067604936,AZNV
35,MT,ID,4357.0,0,296.219080999138,MTID
36,WY,ID,3700.0,0,210.47676688944378,WYID
37,UT,ID,1465.0,0,1267.308344102526,UTID
38,WY,MT,1455.55927052,0,657.3492763652109,WYMT
39,UT,WY,1910.0,0,1461.1731371926876,UTWY
40,CO,WY,3320.0,0,1765.0118185710473,COWY
41,AZ,UT,142.2724496,0,0.0,AZUT
42,NM,UT,299.0836897,0,1795.4588418577484,NMUT
43,CO,UT,239.2401216,0,0.0,COUT
44,NM,AZ,6959.0,0,6888.696095537362,NMAZ
45,CO,NM,690.0,0,6471.655448008665,CONM
